stroke_idx,wp_idx,kind,x_m,y_m,z_m,qx,qy,qz,qw,intensity,q1,q2,q3,q4,q5,q6,q7
0,30,draw,-0.429300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.628705,1.055268,-2.099379,-1.851334,-2.240788,1.859925,-0.988633
0,31,draw,-0.430300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.632611,1.055888,-2.097713,-1.848023,-2.238698,1.861030,-0.988633
0,32,draw,-0.431300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.636527,1.056528,-2.096062,-1.844703,-2.236593,1.862153,-0.988633
0,33,draw,-0.432300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.640453,1.057191,-2.094425,-1.841372,-2.234471,1.863293,-0.988633
0,34,draw,-0.433300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.644388,1.057875,-2.092805,-1.838032,-2.232332,1.864450,-0.988633
0,35,draw,-0.434300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.648333,1.058580,-2.091200,-1.834681,-2.230177,1.865625,-0.988633
0,36,draw,-0.435300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.652287,1.059308,-2.089611,-1.831320,-2.228003,1.866818,-0.988633
0,37,draw,-0.436300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.656251,1.060058,-2.088039,-1.827948,-2.225812,1.868030,-0.988633
0,38,draw,-0.437300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.660226,1.060831,-2.086484,-1.824567,-2.223603,1.869259,-0.988633
0,39,draw,-0.438300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.664209,1.061626,-2.084946,-1.821174,-2.221375,1.870508,-0.988633
0,40,draw,-0.439300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.668203,1.062444,-2.083426,-1.817771,-2.219129,1.871775,-0.988633
0,41,draw,-0.440300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.672207,1.063285,-2.081923,-1.814358,-2.216863,1.873060,-0.988633
0,42,draw,-0.441300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.676222,1.064150,-2.080439,-1.810934,-2.214578,1.874366,-0.988633
0,43,draw,-0.442300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.680246,1.065038,-2.078974,-1.807499,-2.212273,1.875690,-0.988633
0,44,draw,-0.443300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.684280,1.065949,-2.077528,-1.804053,-2.209948,1.877034,-0.988633
0,45,draw,-0.444300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.688325,1.066885,-2.076101,-1.800597,-2.207602,1.878399,-0.988633
0,46,draw,-0.445300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.692381,1.067845,-2.074695,-1.797130,-2.205235,1.879783,-0.988633
0,47,draw,-0.446300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.696447,1.068829,-2.073308,-1.793651,-2.202846,1.881187,-0.988633
0,48,draw,-0.447300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.700524,1.069838,-2.071943,-1.790162,-2.200436,1.882613,-0.988633
0,49,draw,-0.448300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.704611,1.070872,-2.070599,-1.786661,-2.198003,1.884059,-0.988633
0,50,draw,-0.449300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.708710,1.071931,-2.069276,-1.783150,-2.195547,1.885527,-0.988633
0,51,draw,-0.450300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.712819,1.073016,-2.067976,-1.779626,-2.193068,1.887016,-0.988633
0,52,draw,-0.451300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.716940,1.074127,-2.066699,-1.776092,-2.190566,1.888526,-0.988633
0,53,draw,-0.452300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.721072,1.075263,-2.065444,-1.772546,-2.188039,1.890059,-0.988633
0,54,draw,-0.453300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.725216,1.076426,-2.064213,-1.768989,-2.185487,1.891614,-0.988633
0,55,draw,-0.454300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.729371,1.077616,-2.063007,-1.765420,-2.182910,1.893192,-0.988633
0,56,draw,-0.455300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.733537,1.078833,-2.061825,-1.761840,-2.180308,1.894793,-0.988633
0,57,draw,-0.456300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.737716,1.080077,-2.060668,-1.758247,-2.177679,1.896418,-0.988633
0,58,draw,-0.457300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.741907,1.081349,-2.059537,-1.754643,-2.175023,1.898066,-0.988633
0,59,draw,-0.458300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.746110,1.082648,-2.058432,-1.751027,-2.172339,1.899738,-0.988633
0,60,draw,-0.459300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.750326,1.083976,-2.057354,-1.747399,-2.169628,1.901435,-0.988633
0,61,draw,-0.460300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.754554,1.085333,-2.056304,-1.743759,-2.166888,1.903157,-0.988633
0,62,draw,-0.461300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.758795,1.086719,-2.055282,-1.740107,-2.164118,1.904904,-0.988633
0,63,draw,-0.462300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.763049,1.088134,-2.054288,-1.736442,-2.161319,1.906676,-0.988633
0,64,draw,-0.463300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.767316,1.089579,-2.053324,-1.732765,-2.158489,1.908475,-0.988633
0,65,draw,-0.464300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.771597,1.091055,-2.052390,-1.729076,-2.155627,1.910300,-0.988633
0,66,draw,-0.465300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.775892,1.092561,-2.051487,-1.725374,-2.152734,1.912152,-0.988633
0,67,draw,-0.466300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.780201,1.094098,-2.050615,-1.721660,-2.149807,1.914032,-0.988633
0,68,draw,-0.467300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.784524,1.095667,-2.049776,-1.717932,-2.146847,1.915939,-0.988633
0,69,draw,-0.468300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.788861,1.097268,-2.048969,-1.714192,-2.143853,1.917875,-0.988633
0,70,draw,-0.469300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.793214,1.098902,-2.048196,-1.710439,-2.140823,1.919840,-0.988633
0,71,draw,-0.470300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.797582,1.100568,-2.047458,-1.706673,-2.137758,1.921835,-0.988633
0,72,draw,-0.471300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.801965,1.102268,-2.046755,-1.702894,-2.134655,1.923859,-0.988633
0,73,draw,-0.472300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.806364,1.104003,-2.046088,-1.699102,-2.131515,1.925914,-0.988633
0,74,draw,-0.473300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.810779,1.105771,-2.045459,-1.695296,-2.128335,1.928001,-0.988633
0,75,draw,-0.474300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.815211,1.107575,-2.044867,-1.691477,-2.125116,1.930119,-0.988633
0,76,draw,-0.475300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.819659,1.109415,-2.044314,-1.687644,-2.121856,1.932270,-0.988633
0,77,draw,-0.476300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.824125,1.111292,-2.043801,-1.683797,-2.118554,1.934454,-0.988633
0,78,draw,-0.477300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.828609,1.113205,-2.043329,-1.679937,-2.115209,1.936672,-0.988633
0,79,draw,-0.478300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.833112,1.115156,-2.042900,-1.676063,-2.111820,1.938924,-0.988633
0,80,draw,-0.479300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.837633,1.117146,-2.042513,-1.672175,-2.108386,1.941212,-0.988633
0,81,draw,-0.480300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.842173,1.119175,-2.042170,-1.668272,-2.104905,1.943536,-0.988633
0,82,draw,-0.481300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.846733,1.121244,-2.041873,-1.664356,-2.101376,1.945898,-0.988633
0,83,draw,-0.482300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.851313,1.123353,-2.041622,-1.660425,-2.097798,1.948297,-0.988633
0,84,draw,-0.483300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.855914,1.125504,-2.041420,-1.656479,-2.094169,1.950735,-0.988633
0,85,draw,-0.484300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.860537,1.127698,-2.041266,-1.652519,-2.090488,1.953212,-0.988633
0,86,draw,-0.485300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.865181,1.129935,-2.041163,-1.648544,-2.086753,1.955731,-0.988633
0,87,draw,-0.486300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.869849,1.132216,-2.041113,-1.644554,-2.082964,1.958291,-0.988633
0,88,draw,-0.487300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.874540,1.134543,-2.041115,-1.640549,-2.079117,1.960894,-0.988633
0,89,draw,-0.488300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.879256,1.136916,-2.041173,-1.636528,-2.075212,1.963541,-0.988633
0,90,draw,-0.489300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.883996,1.139336,-2.041288,-1.632493,-2.071246,1.966233,-0.988633
0,91,draw,-0.490300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.888763,1.141805,-2.041461,-1.628441,-2.067217,1.968972,-0.988633
0,92,draw,-0.491300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.893556,1.144323,-2.041694,-1.624375,-2.063124,1.971758,-0.988633
0,93,draw,-0.492300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.898377,1.146893,-2.041989,-1.620292,-2.058965,1.974594,-0.988633
0,94,draw,-0.493300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.903227,1.149515,-2.042349,-1.616194,-2.054737,1.977480,-0.988633
0,95,draw,-0.494300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.908107,1.152190,-2.042774,-1.612079,-2.050437,1.980419,-0.988633
0,96,draw,-0.495300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.913017,1.154921,-2.043268,-1.607948,-2.046064,1.983411,-0.988633
0,97,draw,-0.496300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.917960,1.157709,-2.043833,-1.603801,-2.041614,1.986459,-0.988633
0,98,draw,-0.497300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.922936,1.160555,-2.044471,-1.599637,-2.037086,1.989564,-0.988633
0,99,draw,-0.498300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.927947,1.163461,-2.045185,-1.595456,-2.032475,1.992728,-0.988633
0,100,draw,-0.499300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.932995,1.166429,-2.045977,-1.591258,-2.027779,1.995954,-0.988633
0,101,draw,-0.500300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,1.000,-1.938080,1.169462,-2.046850,-1.587044,-2.022995,1.999243,-0.988633
0,102,lift_end,-0.500300,-0.000320,0.940000,-0.000000,0.000000,0.382683,0.923880,0.000,-1.938080,1.169462,-2.046850,-1.587044,-2.022995,1.999243,-0.988633
